old	newPackage	newName	newPath
oio_5	clap.config	ConfigSupport_oio_5	clap\config\ConfigSupport_oio_5.java
oio_6	clap.module.hud	ModuleListHudElement	clap\module\hud\ModuleListHudElement.java
OO0	clap.command.impl	HelpCommand	clap\command\impl\HelpCommand.java
OO00	clap.network	NetworkSupport_OO00	clap\network\NetworkSupport_OO00.java
oo00_0	clap.event.network	PacketSendEvent	clap\event\network\PacketSendEvent.java
OO0I$Oiii	clap.api	ApiSupport_OO0I_Oiii	clap\api\ApiSupport_OO0I_Oiii.java
oo0i$oiii_0	clap.support	Support_oo0i_oiii_0	clap\support\Support_oo0i_oiii_0.java
OO0I	clap.render	FontRenderer	clap\render\FontRenderer.java
oo0i_0	clap.model	EnumType_oo0i_0	clap\model\EnumType_oo0i_0.java
oo0i_1	clap.config	ConfigSupport_oo0i_1	clap\config\ConfigSupport_oo0i_1.java
oo0i_2	clap.network.irc	IrcManager	clap\network\irc\IrcManager.java
OO0o$i0i	clap.api	ApiSupport_OO0o_i0i	clap\api\ApiSupport_OO0o_i0i.java
